KabKot	Y	X1	X2	X3	X4	X5	X6	U	V
Paser	3383	6262	21172	5980	25857	3	25.14	-190987	116.194320
Kubar	5978	3084	15705	3553	22430	1	13.49	0.745590	117.533820
Kukar	2944	18110	104202	13442	142179	3	56.56	-0.422960	116.983080
Kutim	17287	8390	43131	7501	62364	5	33.02	0.668000	117.544739
Berau	8009	5501	29419	2963	38568	2	11.33	2.153620	117.494730
PPU	5251	3541	21346	3655	26912	1	11.76	-1.355250	116.664520
Mahulu	3380	575	1632	243	2678	2	3.25	0.484750	116.629460
Balikpapan	13071	13694	70146	9376	102356	10	17	-1.278180	116.823360
Samarinda	18305	19176	102055	19225	145174	10	39.23	-0.5195	117.11575
Bontang	3873	4060	21042	2397	30243	5	8.1	0.135110	117.493400
KB	5113	6686	30434	3713	42782	2	12.9	-2.692190	111.634630
KT	7752	10245	70239	5509	94863	2	28.2	-2.538660	112.941790
Kapuas	6617	7400	22940	5539	28404	1	18.52	-3.008000	114.389130
BS	2045	2950	16822	1591	21823	1	6.16	-1.723450	114.832890
BU	2337	2807	19134	1586	23817	1	6.5	-1.461110	114.923840
Katingan	3094	3990	12707	1730	14854	1	8.73	-1.688304	113.311418
Seruyan	2952	4646	10672	626	13504	2	14.56	-2.185263	112.197518
Sukamara	1277	1470	27615	2709	34624	1	1.96	-2.330351	111.190277
Lamandau	1296	1719	14518	1442	19471	1	2.52	-1.626032	111.245459
GM	2653	2925	17217	1281	20600	1	5.96	-1.033556	113.490854
PP	2368	2600	16768	1322	21994	2	5.71	-2.547732	114.113243
MR	2290	3053	18236	1465	23112	1	7.39	0.045720	114.351870
BT	1982	2693	19171	1930	22049	1	8.05	-1.937945	115.265447
Palangkaraya	5222	5967	42569	5494	48912	9	9.78	-2.190833	113.885013
 Bengkayang	5885	6166	8706	9857	55277	2	17.94	0.821659	109.477785
KH	5390	5646	6213	9437	62155	2	24.76	0.894834	112.408790
KU	2596	2719	6616	3829	25993	1	11.13	-1.019676	110.069447
 Ketapang	10739	11251	7814	16947	120330	3	54.86	-1.056012	110.704540
 Sambas	5885	6166	8706	9857	55277	2	17.94	1.358793	109.298298
 Mempawah	5469	5730	8218	9057	55173	1	14.61	0.364346	108.954860
 Sanggau	9601	10058	9484	16916	111861	4	21.59	0.119490	110.597126
 Sintang	9204	9643	8758	11378	97730	4	42.65	0.060359	111.492579
 Landak	7562	7922	9166	20493	85796	1	43.73	0.524588	109.756640
Sekadau	4136	4333	7713	8973	46827	1	12.29	0.015551	110.887916
Melawai	4258	4461	8323	6598	50116	3	26.24	-0.468794	111.594702
KR	11903	12470	8951	13979	124631	3	28.86	-0.296106	109.353779
Pontianak	12192	12772	9777	23261	129762	13	31.76	-0.027498	109.328800
Singkawang	4711	4936	9433	6792	43939	7	11.17	0.877329	108.968561
Malinau	7950	9078	15031	7340	2355	3	6.63	3.584307	116.648569
Bulungan	7934	8092	6920	5247	1691	1	13.03	2.776007	116.872271
TT	8764	9886	1862	2995	463	1	1.34	3.564344	117.071093
Tarakan	8711	9654	1831	4136	4155	4	15.97	3.348301	117.566721
Nunukan	7440	8766	1973	933	4010	1	13.38	4.139167	117.648982
